Satellite Name,NORAD ID,Inclination (°),RAAN (°),Eccentricity,Arg. of Perigee (°),Mean Anomaly (°),Mean Motion (revs/day),Epoch
IRIDIUM 33 DEB,34071,1.506985344012732,1.7978339918820752,0.0009913,0.9688584477208322,5.318058373399517,0.06319551214366942,2025-05-30T13:56:43Z
IRIDIUM 33 DEB,34077,1.5077480528958536,2.40196051383814,0.0009957,6.146154271617756,2.3378423531076242,0.0637557918060252,2025-05-30T11:56:33Z
IRIDIUM 33 DEB,34079,1.50758748260467,1.7019124415217186,0.0004847,5.903244582312941,3.2365769621418288,0.06449360618536089,2025-05-30T08:33:37Z
IRIDIUM 33 DEB,34088,1.5077305996033334,2.0946935536952864,0.0006257,2.6404440481598974,5.838857640877618,0.0646237923013958,2025-05-30T10:00:44Z
IRIDIUM 33 DEB,34091,1.5071686035841914,2.714198171690674,0.0036196,4.616711776119613,1.6613893869489142,0.0641311030014177,2025-05-30T06:46:13Z
IRIDIUM 33 DEB,34097,1.504447635280332,1.534989151860981,0.0081798,4.88978948154515,1.3793913037164345,0.06252752267175272,2025-05-30T08:08:09Z
IRIDIUM 33 DEB,34145,1.5046972173633675,1.0473232149027414,0.0056613,0.4239125500413907,5.86598878409987,0.06286565512521862,2025-05-29T22:37:52Z
IRIDIUM 33 DEB,34146,1.5059259291567713,1.3335397589372915,0.0028985,2.703326515780001,5.832867670884773,0.06315753840426855,2025-05-30T07:43:45Z
IRIDIUM 33 DEB,34159,1.5070952997556075,2.302487218449975,0.0027146,3.616283812888707,2.666514031196937,0.06274015190209975,2025-05-30T09:12:58Z
IRIDIUM 33 DEB,34350,1.506681656722885,1.5335736898376136,0.0023789,1.2443988127209331,1.8921184234040607,0.06304089992658671,2025-05-30T14:07:40Z
IRIDIUM 33 DEB,34366,1.5074478562645104,2.347310764299694,0.0024373,1.4324283690260382,0.7363666287211716,0.06334646868136738,2025-05-30T10:45:40Z
IRIDIUM 33 DEB,34375,1.5084723645354312,4.569909026898133,0.0103286,0.5674868249689483,0.369362284270308,0.06185161477191941,2025-05-30T08:07:31Z
IRIDIUM 33 DEB,34376,1.5062348524343743,1.6471911334839404,0.0030497,2.0297585788748376,4.261015419892421,0.06365070483363092,2025-05-30T13:57:38Z
IRIDIUM 33 DEB,34486,1.5078806979190051,1.7807140572492626,0.0015719,1.6783190806932593,5.600967518501539,0.06484067014310772,2025-05-29T20:41:45Z
IRIDIUM 33 DEB,34487,1.506946946769188,1.6991495853158116,0.0033359,1.1376754196199836,1.5125424723510819,0.06295712482062268,2025-05-29T07:29:36Z
IRIDIUM 33 DEB,34488,1.5066991100154048,0.7064394680372248,0.0014301,0.3058794233875182,5.980314831422506,0.06557692184189765,2025-05-30T03:29:15Z
IRIDIUM 33 DEB,34492,1.5091565336022128,0.9351229786090339,0.020732,2.559905829826619,5.976679310590602,0.061928813477261924,2025-05-30T05:20:44Z
IRIDIUM 33 DEB,34497,1.5058421533526758,2.3858703234640046,0.0078951,4.43052179684611,2.029313519915579,0.06224871457042734,2025-05-29T05:55:11Z
IRIDIUM 33 DEB,34508,1.507524650751598,3.238992497826589,0.0069834,1.6849199159243018,4.61424213522804,0.06269301994014811,2025-05-30T14:01:47Z
IRIDIUM 33 DEB,34521,1.5076154078727018,2.0378621425918473,0.0002714,2.650736254758908,3.634817464215635,0.06373253228304941,2025-05-30T09:22:25Z
IRIDIUM 33 DEB,34525,1.5074775268617944,2.2790457012664396,0.0005899,0.7522037463537682,1.5010267899464231,0.06293157066964608,2025-05-30T11:13:22Z
IRIDIUM 33 DEB,34529,1.5073082299243508,2.0789437025252897,0.000721,2.0354308989438192,4.251138601655384,0.06284804213507213,2025-05-30T09:23:51Z
IRIDIUM 33 DEB,34538,1.5058002654506277,1.596473610750237,0.0032901,4.368717942703738,4.58487173457548,0.06288723834671432,2025-05-30T06:54:14Z
IRIDIUM 33 DEB,34540,1.5064757078711497,0.6470563855673698,0.0019824,2.1994325074367183,0.6322734468029777,0.06419609037974894,2025-05-30T03:22:38Z
